bitclout_public_key,btc_public_key,btc_sent,is_genesis_account,profile_names_list
BC1YLfxM6CDq1xuW8mwGPaNRfK99rCd1Co5u3Mb5eCnXgqqKeYt3krB,1Jmu4UQYqYqQaL4NyxsVbXPTHf6Pekd4x1,2.9719501,false,
BC1YLfg6RFHGXsKzZFyEKUmJ869eBeXMKH2xiuxrPw1ZuBxVRy1yXDg,13CtZ8kRteAcVf3B9krjTA2DD6vfVnwwBk,2.9717694,false,Hoge - CryptoMeme - PlatinumToken - CryptoMemes - CryptoMemess - Crypto_Memess - memesbitc - memesbitclout
BC1YLg2bdu75jnKW8aNwRVJ6CHjhMTnjXe42q1bkgRhZ4awoqywPdCK,1FGS2Ugq1owKF9eAUVLAqrSfN3K4zocSPU,2.89876988,false,jefflo
BC1YLhrtptZUpJDgXJrdQdojctfTE2GdATqjW2259p7oFN45YFbH3Zp,1HSQ8YpZsydTeqXqzGqaqVUVwvkph4Ajyn,2.89001548,false,jakeudell
BC1YLhbeXFZYNh22ktvNJqSbpfTkV7aq5gBLbkG6h9AnD1XxEPvpuoa,1JzammGNWqi7AfuKtwqdssFrjinCoVFCDt,2.85113298,false,btcpete - btcpepe
BC1YLjNLAqQywp3ReXBPvAsZDn8nZVAAsG1WbbFAjsdhnRHh2LS9yVs,15bZHFVm8K9QqJ2jQ7L82i8LYKC96TurBd,2.78711112,false,ankh2054
BC1YLhYQjewxCQvtp4KgcsBBPS2r7a5Dt8hTRoNvd9rdBLtSM7vz8Dq,14HVJpNCoZinoHj3ZSYUiAyNeorbL3fxGe,2.77390062,false,turo - truro
BC1YLjXfjA9o8WcyrUhBP3NCz8TRvTLfkR947ys46hci57P3TTbEiep,125MNu4Xkt9tdJhoDpKANdDztdxZsUXU8z,2.77167466,false,adamwinnick
BC1YLiwfiTAz7521GZN7LHMBpPP67E51XEm9oXszqqSAguNtHUU4DQV,1Sm8FNy2Z4rWPfPwwWyXPzzmzzNqZECpL,2.76912688,false,ggu
BC1YLhsaPBaGbmn4Gizz5rj77sHTZprxzpNRixYYnHSCuhinvuLtv23,15BUYgoWhr3HgiMNZY9QDhft95ZX59Vfr5,2.74956272,false,
BC1YLgc1QGMeftDgduAJQZahVYfcfZpHa3ybvDhDgfcbCLjFzwBgMGb,1NPQJxkzuwJDYAsyZskHBGomkb9G62sTf,2.69330664,false,real_syroamst
BC1YLihtkQyjTcVDcqk3APTVUtPfw8rgrLM6hrTETAyfxPunrrqGwRL,1Nau5msoDB73aviBVEcpyoGz2prxcaLiBU,2.59937984,false,
BC1YLjBqx2wpyh92nNGxZEuRnmP1ETSgFEJGY3cNNKVWQa1aSMRBnxw,1DnzwM3kUdNTEQgmUi2XPbNGTmTDQ1Xdth,2.58046344,false,Cryptonik - Cryptonik222
BC1YLge5uSxNt3MuVqvNkfoK61iuRYcLQVJ791mqozwtYacdjcvLpDi,1eYSVrjkiacZQTHy9VAa4ft6ZcTSe2V1F,2.50897796,false,
BC1YLhLZTsGfoJCkxd5152AzGGvCg5Hz66UzhVHicX4nDAYH26NpYad,1MW3EY4F6aEzg4vBavTAztF23eD8ajKYav,2.49956344,false,TheV
BC1YLizzb8mkgjxigCKtZYFQETjNexkKzFV4GfTxNovsRLnDYb53bMT,18Qp5r5ynuiX5R8gvteN2JVdVCFkPdW19N,2.49952876,false,MOCA - museumofcryptoart
BC1YLhQRhS47g2tgLZEsKc97NVQELDzxv5wVEVmxUDD7XbqVN7huWQs,19z5rgdQuTS8K3Zw7r4jdan274AXhzDDTJ,2.4989086,false,NemanIV
BC1YLj11MwGGTn4PRdF5A4sfcRH3UbxbPFJuSmrS7faevkiasJxgMqp,15Z7zbzJscya8xVvrniZJZU5FMFHRFsysE,2.49856343,false,RanQe
BC1YLhznxpnCUHYi9YHZm3MVr2HrysDKgWWRibZtr5wT8MfVEnGMhSK,1TbnFvkoRKdBGiLSK57ovhrcgsM9XTVn4,2.48747264,false,ProfD
BC1YLgfnNWhMxkWok6jxHo2EodxxUQfqiw1FM6mQ74927wKyS8HD2Zp,1HGpUukJyGRhfqsZbL3hfvSSzZN4vQgfyi,2.48225326,false,budo388
BC1YLhpm1aWXmzk89UsbNtipNVe7vPCbzjquqwvVexM7c3x94jQSkSR,1Ci1CuwPNyHkhsazKQhmST4WLh6Mfn2MTG,2.46084395,false,0xrodney -
