public_key,bitclout_amount,reward_transaction_count,is_genesis_account
BC1YLjWdpodi52TjNYUiJvEmZnSTRgNyyHy4Xf8VChKMLuq4pgRMnDw,6250,1,true
BC1YLi2zMFFn2hi1p8bqJ4PbcLJ3qNF46aC1YxGCh6h6GU8gSngAaXi,5125.6831793,1,true
BC1YLjRnQ3PVREM4uecAgLgmFX6ezzGRydgJEWiuKvZEo22UFqccAGp,5121.1970804,1,true
BC1YLhN4PtzjEq3y3U2itTf99Rka68tSBUGd7budcjvUsPB1QaXDNmt,4999.9000138,1,true
BC1YLj3NjV2vZt7wUoirjUdKzCvLaBDLotPeymxRZ1Rik2JLyYU6MG1,4167,1,true
BC1YLiQexbhPqV2D1Su7U6pogzRgV75oc1r5eEQewHtedxWvn5T1PKb,4166.6800137,1,true
BC1YLiaxtgmo87WhrAkZPwRbrGV559BjPEDXmNd9YkYTVLoN22FHqz5,4166,1,true
BC1YLib79qmLjsjo1FmS1V4DZ5nZ488T65emzSjDuwa1NoD4fxcSAM8,4166,1,true
BC1YLiLbwgFaA8PgyrjyRVzA1pzHvsJZ3JiK7e6Wopc2V4ZXiDb2eXx,4144.7978328,1,true
BC1YLixKcChS3YX9DTwLi1PLdx9qW5ikCqMESms2kqwvrpbempnsgvF,4090.3080326,1,true
BC1YLhvGoLXDYt7cDfaRfETMBLkHAk2tDBrpUgdXV5MAjuaArxmioL9,4005.0862409,1,true
BC1YLggvF9eHXTJ1KAM1gKxcDo3WWXiEY3QcnNgv7D2BsKq8hQkhkjD,3945.8465722,1,true
BC1YLiWhFc7jgCAiaY39Uer7kpTdDMSyPH9zQma9N4hKXyXeWX5cmh1,3890.8168997,1,true
BC1YLgQmmC1vwv9KgQwPT3u43crY7kD6Yp5H48C5rFaYTKAqFBkBDpH,3877.0935873,1,true
BC1YLguBNmvvAW54s16QsUgHNhXWonhGsH81AthH1pvtbRXWxEfzHed,3825.8604161,1,true
BC1YLg4CZgCfb2jMHhqitrjDACbRSSr5uyJsqBFgcceuPhYnwKBUS7t,3721.30054,1,true
BC1YLj99RQCX73ZRzZv3ddWBPKDoo69HZLRpAxo3RFcmraodt6tt5od,3449,1,true
BC1YLiKozhnqzdHaMKhAuY6arD2rkSTcHuJk2VSead6HNQAkV6wDMzY,3449,1,true
BC1YLfmv5vyQXQEsDua5avbxSaAsQ234G3Ling5yeHDALWtUtuPJYcc,3449,1,true
BC1YLht13c8dpCPi32MRgBbeJfWFJHx7ccjF4SXshqeQVRpU8EVwJea,3449,1,true
BC1YLiu9FBbriyHYeaDnoVLWTBuHVNpPhWYuL9N6nFjNSzGgnSPKmoP,3377.3686797,1,true
BC1YLjMqbsDNDkD3MGuBEvGkcz2fG5rTXfYuk5zN79TYKKd85q8nbWN,3299.0709482,1,true
BC1YLhVYB4JLTN7Pvy7RmNreTeVK8DC7nonkawurRmJiVNcChhyxrgB,3250.1225239,1,true
BC1YLhL6hN6YiNVELFy8HwGYTNatLdD2gJwN84hMcPiN94WGBcjVsSE,3180.3633739,1,true
BC1YLhC3caySNs36jjEJSDqxiafQsLuYBgSahGuuQ5iX2VRmVvG2w6u,3125,1,true
BC1YLgvZxe8cyXrq4RwErDztGK29SABWHbCi2TtE5tFZ9qe2TDduVf2,3125,1,true
BC1YLimRmPcdUK8aZ7KDZQEsk5vbcowGVPeXxa6fV1Lxnr7Pz63nwP3,3125,1,true
BC1YLfpcgxSW1V7PsRogGRzQkuENeJzHKtwunDHw4zihstVxtVMzVgJ,3097.2930193,1,true
BC1YLhf1ywDYXySpBZVCq9A19rnoPrJe5M5fCFm3eQfogAiepPKEBKU,3027.1196828,1,true
